date,temp_avg,temp_min,temp_max,solar_radiation,rel_humidity,wind_speed,rainfall
2024-01-01,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-01-02,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-01-03,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-01-04,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-01-05,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-01-06,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-01-07,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-01-08,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-01-09,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-01-10,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-01-11,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-01-12,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-01-13,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-01-14,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-01-15,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-01-16,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-01-17,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-01-18,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-01-19,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-01-20,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-01-21,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-01-22,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-01-23,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-01-24,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-01-25,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-01-26,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-01-27,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-01-28,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-01-29,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-01-30,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-01-31,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-02-01,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-02-02,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-02-03,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-02-04,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-02-05,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-02-06,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-02-07,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-02-08,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-02-09,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-02-10,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-02-11,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-02-12,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-02-13,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-02-14,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-02-15,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-02-16,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-02-17,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-02-18,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-02-19,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-02-20,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-02-21,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-02-22,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-02-23,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-02-24,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-02-25,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-02-26,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-02-27,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-02-28,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-02-29,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-03-01,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-03-02,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-03-03,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-03-04,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-03-05,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-03-06,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-03-07,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-03-08,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-03-09,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-03-10,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-03-11,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-03-12,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-03-13,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-03-14,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-03-15,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-03-16,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-03-17,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-03-18,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-03-19,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-03-20,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-03-21,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-03-22,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-03-23,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-03-24,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-03-25,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-03-26,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-03-27,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-03-28,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-03-29,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-03-30,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-03-31,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-04-01,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-04-02,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-04-03,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-04-04,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-04-05,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-04-06,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-04-07,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-04-08,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-04-09,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-04-10,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-04-11,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-04-12,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-04-13,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-04-14,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-04-15,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-04-16,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-04-17,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-04-18,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-04-19,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-04-20,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-04-21,22.0,17.0,27.0,17.1,60.0,2.1,0.0
2024-04-22,20.5,15.5,25.5,15.9,66.0,1.9,0.0
2024-04-23,21.5,16.5,26.5,16.8,63.0,2.0,0.0
2024-04-24,19.0,14.0,24.0,14.2,70.0,2.3,0.0
2024-04-25,23.0,18.0,28.0,18.5,58.0,1.7,0.0
2024-04-26,22.5,17.5,27.5,17.8,61.0,1.8,0.0
2024-04-27,20.0,15.0,25.0,15.5,65.0,2.0,0.0
2024-04-28,21.0,16.0,26.0,16.2,62.0,1.8,0.0
2024-04-29,19.5,14.5,24.5,14.8,68.0,2.2,0.0
2024-04-30,22.0,17.0,27.0,17.1,60.0,2.1,0.0
