step,day,hour,water_uptake_rate,transpiration_rate,evapotranspiration,water_availability,root_water_potential,leaf_water_potential,hydraulic_conductance,crop_coefficient,cumulative_water_uptake,daily_water_uptake,cumulative_transpiration,daily_transpiration
1,1,0,0.0001,0.0001,0.0159,0.9998,-0.1003,-0.5127,0.0124,0.0800,0.0001,0.0000,0.0001,0.0000
2,1,1,0.0013,0.0013,0.0238,0.9969,-0.1043,-0.6714,0.1029,0.1200,0.0015,0.0014,0.0015,0.0014
3,1,2,0.0013,0.0013,0.0239,0.9969,-0.1044,-0.6734,0.1034,0.1207,0.0041,0.0040,0.0041,0.0040
4,1,3,0.0013,0.0013,0.0242,0.9968,-0.1045,-0.6775,0.1045,0.1221,0.0067,0.0066,0.0067,0.0066
5,1,4,0.0014,0.0014,0.0245,0.9967,-0.1046,-0.6815,0.1056,0.1235,0.0094,0.0093,0.0094,0.0093
6,1,5,0.0014,0.0014,0.0248,0.9967,-0.1047,-0.6856,0.1067,0.1249,0.0121,0.0120,0.0121,0.0120
7,1,6,0.0014,0.0014,0.0250,0.9966,-0.1048,-0.6897,0.1077,0.1262,0.0150,0.0149,0.0150,0.0149
8,1,7,0.0015,0.0015,0.0253,0.9965,-0.1049,-0.6938,0.1088,0.1276,0.0178,0.0177,0.0178,0.0177
9,1,8,0.0015,0.0015,0.0256,0.9964,-0.1050,-0.6980,0.1098,0.1290,0.0208,0.0207,0.0208,0.0207
10,1,9,0.0015,0.0015,0.0259,0.9964,-0.1051,-0.7022,0.1109,0.1303,0.0238,0.0237,0.0238,0.0237
11,1,10,0.0015,0.0015,0.0261,0.9963,-0.1052,-0.7064,0.1119,0.1317,0.0268,0.0267,0.0268,0.0267
12,1,11,0.0016,0.0016,0.0264,0.9962,-0.1053,-0.7106,0.1130,0.1330,0.0300,0.0299,0.0300,0.0299
13,1,12,0.0016,0.0016,0.0267,0.9962,-0.1054,-0.7132,0.1140,0.1343,0.0331,0.0330,0.0331,0.0330
14,1,13,0.0016,0.0016,0.0269,0.9961,-0.1054,-0.7153,0.1150,0.1357,0.0364,0.0363,0.0364,0.0363
15,1,14,0.0016,0.0016,0.0272,0.9961,-0.1055,-0.7174,0.1160,0.1370,0.0396,0.0395,0.0396,0.0395
16,1,15,0.0016,0.0016,0.0274,0.9960,-0.1055,-0.7195,0.1170,0.1383,0.0429,0.0428,0.0429,0.0428
17,1,16,0.0017,0.0017,0.0277,0.9960,-0.1056,-0.7216,0.1180,0.1396,0.0462,0.0461,0.0462,0.0461
18,1,17,0.0017,0.0017,0.0280,0.9960,-0.1056,-0.7236,0.1190,0.1409,0.0495,0.0494,0.0495,0.0494
19,1,18,0.0017,0.0017,0.0282,0.9959,-0.1057,-0.7257,0.1200,0.1422,0.0529,0.0528,0.0529,0.0528
20,1,19,0.0017,0.0017,0.0285,0.9959,-0.1057,-0.7277,0.1210,0.1435,0.0563,0.0562,0.0563,0.0562
21,1,20,0.0017,0.0017,0.0287,0.9959,-0.1058,-0.7298,0.1219,0.1448,0.0597,0.0596,0.0597,0.0596
22,1,21,0.0017,0.0017,0.0290,0.9958,-0.1058,-0.7318,0.1229,0.1460,0.0632,0.0631,0.0632,0.0631
23,1,22,0.0018,0.0018,0.0292,0.9958,-0.1059,-0.7338,0.1239,0.1473,0.0667,0.0666,0.0667,0.0666
24,1,23,0.0018,0.0018,0.0295,0.9958,-0.1059,-0.7358,0.1248,0.1486,0.0702,0.0701,0.0702,0.0701
25,2,0,0.0016,0.0016,0.0262,0.9962,-0.1053,-0.7093,0.1257,0.1498,0.0733,0.0000,0.0733,0.0000
26,2,1,0.0016,0.0016,0.0264,0.9962,-0.1053,-0.7108,0.1266,0.1509,0.0765,0.0032,0.0765,0.0032
27,2,2,0.0016,0.0016,0.0265,0.9962,-0.1054,-0.7124,0.1274,0.1520,0.0797,0.0063,0.0797,0.0063
28,2,3,0.0016,0.0016,0.0267,0.9961,-0.1054,-0.7139,0.1282,0.1531,0.0829,0.0095,0.0829,0.0095
29,2,4,0.0016,0.0016,0.0269,0.9961,-0.1054,-0.7155,0.1290,0.1542,0.0861,0.0127,0.0861,0.0127
30,2,5,0.0016,0.0016,0.0271,0.9961,-0.1055,-0.7170,0.1299,0.1553,0.0893,0.0160,0.0893,0.0160
31,2,6,0.0016,0.0016,0.0273,0.9961,-0.1055,-0.7185,0.1307,0.1564,0.0926,0.0193,0.0926,0.0193
32,2,7,0.0017,0.0016,0.0275,0.9960,-0.1055,-0.7200,0.1315,0.1575,0.0959,0.0225,0.0959,0.0225
33,2,8,0.0017,0.0017,0.0277,0.9960,-0.1056,-0.7215,0.1323,0.1586,0.0992,0.0259,0.0992,0.0259
34,2,9,0.0017,0.0017,0.0279,0.9960,-0.1056,-0.7230,0.1331,0.1596,0.1025,0.0292,0.1025,0.0292
35,2,10,0.0017,0.0017,0.0281,0.9960,-0.1057,-0.7245,0.1339,0.1607,0.1059,0.0325,0.1059,0.0325
36,2,11,0.0017,0.0017,0.0282,0.9959,-0.1057,-0.7260,0.1346,0.1618,0.1093,0.0359,0.1093,0.0359
37,2,12,0.0017,0.0017,0.0284,0.9959,-0.1057,-0.7274,0.1354,0.1628,0.1127,0.0393,0.1127,0.0393
38,2,13,0.0017,0.0017,0.0286,0.9959,-0.1058,-0.7289,0.1362,0.1639,0.1161,0.0427,0.1161,0.0427
39,2,14,0.0017,0.0017,0.0288,0.9959,-0.1058,-0.7304,0.1370,0.1649,0.1195,0.0462,0.1195,0.0462
40,2,15,0.0017,0.0017,0.0290,0.9958,-0.1058,-0.7318,0.1377,0.1660,0.1230,0.0497,0.1230,0.0497
41,2,16,0.0017,0.0017,0.0292,0.9958,-0.1059,-0.7333,0.1385,0.1670,0.1265,0.0531,0.1265,0.0531
42,2,17,0.0018,0.0018,0.0293,0.9958,-0.1059,-0.7347,0.1392,0.1680,0.1300,0.0567,0.1300,0.0567
43,2,18,0.0018,0.0018,0.0295,0.9957,-0.1060,-0.7362,0.1400,0.1691,0.1335,0.0602,0.1335,0.0602
44,2,19,0.0018,0.0018,0.0297,0.9957,-0.1060,-0.7376,0.1408,0.1701,0.1371,0.0637,0.1371,0.0637
45,2,20,0.0018,0.0018,0.0299,0.9957,-0.1060,-0.7390,0.1415,0.1711,0.1406,0.0673,0.1406,0.0673
46,2,21,0.0018,0.0018,0.0301,0.9957,-0.1061,-0.7404,0.1422,0.1721,0.1442,0.0709,0.1442,0.0709
47,2,22,0.0018,0.0018,0.0302,0.9956,-0.1061,-0.7418,0.1430,0.1731,0.1479,0.0745,0.1479,0.0745
48,2,23,0.0018,0.0018,0.0304,0.9956,-0.1061,-0.7432,0.1437,0.1741,0.1515,0.0782,0.1515,0.0782
49,3,0,0.0027,0.0027,0.0452,0.9935,-0.1091,-0.8616,0.1444,0.1751,0.1569,0.0000,0.1569,0.0000
50,3,1,0.0027,0.0027,0.0455,0.9935,-0.1092,-0.8639,0.1452,0.1762,0.1623,0.0054,0.1623,0.0054
51,3,2,0.0027,0.0027,0.0458,0.9934,-0.1092,-0.8661,0.1460,0.1773,0.1678,0.0109,0.1678,0.0109
52,3,3,0.0028,0.0028,0.0460,0.9934,-0.1093,-0.8683,0.1468,0.1784,0.1733,0.0164,0.1733,0.0164
53,3,4,0.0028,0.0028,0.0463,0.9933,-0.1093,-0.8706,0.1476,0.1795,0.1789,0.0220,0.1789,0.0220
54,3,5,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.1844,0.0275,0.1844,0.0275
55,3,6,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.1900,0.0331,0.1900,0.0331
56,3,7,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.1956,0.0387,0.1956,0.0387
57,3,8,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2012,0.0443,0.2012,0.0443
58,3,9,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2067,0.0498,0.2067,0.0498
59,3,10,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2123,0.0554,0.2123,0.0554
60,3,11,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2179,0.0610,0.2179,0.0610
61,3,12,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2235,0.0666,0.2235,0.0666
62,3,13,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2290,0.0721,0.2290,0.0721
63,3,14,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2346,0.0777,0.2346,0.0777
64,3,15,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2402,0.0833,0.2402,0.0833
65,3,16,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2458,0.0889,0.2458,0.0889
66,3,17,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2513,0.0944,0.2513,0.0944
67,3,18,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2569,0.1000,0.2569,0.1000
68,3,19,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8717,0.1479,0.1800,0.2625,0.1056,0.2625,0.1056
69,3,20,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8719,0.1480,0.1801,0.2681,0.1112,0.2681,0.1112
70,3,21,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8719,0.1480,0.1801,0.2736,0.1167,0.2736,0.1167
71,3,22,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8719,0.1480,0.1801,0.2792,0.1223,0.2792,0.1223
72,3,23,0.0028,0.0028,0.0465,0.9933,-0.1094,-0.8719,0.1480,0.1801,0.2848,0.1279,0.2848,0.1279
73,4,0,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.2888,0.0000,0.2887,0.0000
74,4,1,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.2927,0.0039,0.2927,0.0039
75,4,2,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.2967,0.0079,0.2966,0.0079
76,4,3,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3006,0.0118,0.3006,0.0118
77,4,4,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3046,0.0158,0.3045,0.0158
78,4,5,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3085,0.0197,0.3085,0.0197
79,4,6,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3124,0.0237,0.3124,0.0237
80,4,7,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3164,0.0276,0.3164,0.0276
81,4,8,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3203,0.0316,0.3203,0.0316
82,4,9,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3243,0.0355,0.3243,0.0355
83,4,10,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3282,0.0395,0.3282,0.0395
84,4,11,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3322,0.0434,0.3322,0.0434
85,4,12,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3361,0.0474,0.3361,0.0474
86,4,13,0.0020,0.0020,0.0329,0.9953,-0.1066,-0.7633,0.1480,0.1801,0.3401,0.0513,0.3401,0.0513
